0	68	-2	-34	-4	83	9	-23	-7	80	-18	-11	-23
5	64	-8	-50	-19	106	-12	-14	0	1	-30	-13	30
10	108	50	15	24	135	30	42	23	30	70	32	129
15	237	141	112	118	262	153	144	156	98	142	153	228
20	362	222	208	196	392	260	338	325	297	328	345	460
25	629	414	387	394	718	509	586	480	463	481	530	658
30	841	618	556	564	893	662	757	679	586	699	747	853
35	1057	928	817	838	1195	874	1026	874	767	961	983	1142
40	1284	1087	945	1028	1357	1123	1232	1105	1005	1213	1247	1330
45	1627	1394	1267	1253	1563	1390	1422	1209	1147	1403	1430	1530
50	1917	1636	1521	1515	1785	1625	1633	1508	1317	1632	1775	1727
55	2103	1904	1732	1717	1956	1772	1849	1655	1502	1955	1981	1873
60	2243	2094	1944	1944	2171	1982	2132	1912	1710	2144	2233	2052
65	2477	2349	2165	2173	2295	2237	2252	2094	1974	2393	2446	2130
70	2712	2615	2371	2417	2546	2372	2467	2183	2094	2557	2583	2251
75	2833	2673	2522	2606	2781	2467	2612	2423	2336	2820	2811	2419
80	3014	2857	2619	2764	3028	2627	2811	2582	2510	3105	2955	2438
85	3056	3036	2680	2936	3277	2762	2959	2724	2667	3328	3209	2633
90	3215	3282	2883	3149	3502	2910	3004	2795	2749	3398	3208	2575
95	3414	3446	2872	3286	3560	3091	3166	2887	2872	3565	3394	2727
100	3533	3496	2922	3372	3685	3106	3267	3078	2967	3802	3466	2797
